gene,level
SERPINB10,58
TMEM42,58
TVP23C,58
TVP23C-CDRT4,58
TXNDC15,58
ZDHHC1,58
ZDHHC15,58
PPARA,59
HEY1,59
ASB9,59
HSF2,59
ANKRD31,59
CDC37L1,59
IGDCC3,59
KATNBL1,59
OR4D5,59
PON2,59
ZSWIM4,59
ZSWIM6,59
FOXO1,60
IRF9,60
HIF3A,60
ACOT4,60
CCDC155,60
CCDC89,60
CYP4A22,60
DEFB112,60
FAM204A,60
RELT,60
SERAC1,60
SLC22A5,60
TMEM272,60
FUS,61
TWIST1,61
PRDM1,61
SIRT2,61
NKX2-2,61
BBC3,61
ANXA8L1,61
CADM3,61
GBP7,61
IFNB1,62
DOT1L,62
UPF2,62
LDB1,62
ZNF488,62
GLMP,62
GSTA5,62
RTN4IP1,62
SCFD2,62
ST20-MTHFS,62
THEM5,62
UTS2,62
NCOR2,63
SRRM1,63
LMX1B,63
AFF4,63
AARD,63
AGAP6,63
ANTXRL,63
ASAH2B,63
DIPK1B,63
ENDOD1,63
ENSP00000489910,63
ETFBKMT,63
FAM25A,63
FBXO24,63
NDST2,63
PLGLB2,63
ZNF880,63
SMARCC2,64
TAF9B,64
MEF2D,64
MED8,64
ZRANB2,64
CRYBG2,64
OCLM,64
POLR3A,65
MYOG,65
SIRT7,65
SLC2A4RG,65
KLF6,65
THRA,65
TAF1L,65
ATP11A,65
C11orf24,65
CLEC17A,65
OR13C3,65
OR13C4,65
OR4C6,65
RAB3C,65
SLC15A2,65
TRIM25,66
PAX7,66
POLR3E,66
BHLHE40,66
PAX4,66
TAF4B,66
GMCL2,66
LCMT2,66
METTL2B,66
MLC1,66
OGFR,66
PYCR2,66
SLC22A25,66
SLC26A10,66
SLC43A1,66
TMEM182,66
TTC32,66
GLI1,67
TCF3,67
ZFHX3,67
GTF3C3,67
SNAPC4,67
C3orf36,67
FAM3B,67
FSCN3,67
IGFLR1,67
PDZD9,67
RNPEP,67
SPINK2,67
VWA3A,67
DNMT3B,68
SNAI2,68
RB1,68
IKZF1,68
APC,68
TAF1A,68
DEDD2,68
ADGRF4,68
AP1G2,68
CCDC57,68
ERICH3,68
FAM53A,68
FTCDNL1,68
ITPKC,68
OR1Q1,68
OR2H1,68
OR51I2,68
RNASE11,68
S100PBP,68
TMEM135,68
REL,69
RFC1,69
EBF1,69
ARID2,69
KDM2A,69
MAF1,69
L3MBTL1,69
RBAK,69
C20orf194,69
C3orf62,69
ESD,69
ODF3L1,69
PCDHGB4,69
PRB1,69
PRB3,69
PRB4,69
SPATA48,69
SRPX,69
SP1,70
FOXP2,70
SMG1,70
SMARCE1,70
MED23,70
NFKBIZ,70
ARHGAP35,70
GTF3A,70
ZNF707,70
PPP4R4,70
RAP2C,70
SAMD12,70
SNX31,70
ZNF391,70
FOXP3,71
SOX9,71
SFPQ,71
KAT7,71
HMGA1,71
CUX2,71
MED16,71
PYGO2,71
ADCK5,71
C8orf58,71
EFHD1,71
FRRS1,71
IQCK,71
KIAA1211L,71
KRT222,71
PLEKHG6,71
SCN3A,71
SLC29A4,71
SRGAP2C,71
ST7,71
STK32C,71
U3KQV3_HUMAN,71
hCG_1642624,71
SNAI1,72
SSB,72
